22,-28494,-18
-28512,-28494,-18
-28496,-2849418
-28512,-28494,-18
-28496,-28494,-2
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28496,-2849418
-28512,-28494,-18
-28496,-28494,-2
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28496,-2849420624,24720,-4096
-28512,-28494,-18
-28480,-28494,14
-28512,-28494,-18
-28496,-28494,-2
-28464,-28494,30
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28464,-28494,30
-28528,-28494,-34
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28480,-28494,14
-28512,-28494,-18
-28528,-28494,-34
-28512,-28494,-18
-28496,-28494,-2
-28480,-28494,14
-28496,-28494,-2
-28496,-28494,-2
-28512,-28494,-18
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28512,-28494,-18
-28480,-28494,14
-28496,-28494,-2
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28528,-28494,-34
-28480,-28494,14
-28496,-28494,-2
-28512,-28494,-18
-28496,-28494,-2
-28496,-28494,-2
-28496,-28494,-2
-28496,-28494,-2
-28512,-28494,-18
-28496,-28494,-2
-28496,-28494,-2
-28480,-28494,14
-28512,-28494,-18
-28480,-28494,14
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28528,-28494,-34
-28512,-28494,-18
-28560,-28494,-66
-28512,-28494,-18
-28512,-28494,-18
-28528,-28494,-34
-28512,-28494,-18
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28496,-28494,-2
-28528,-28494,-34
-28512,-28494,-18
-28512,-28494,-18
-28544,-28494,-50
-28480,-28494,14
-28512,-28494,-18
-28512,-28494,-18
-28528,-28494,-34
-28496,-28494,-2
-28512,-28494,-18
-28480,-28494,14
-28496,-28494,-2
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28512,-28494,-18
-28544,-28494,-50
-28512,-28494,-18
-28528,-28494,-34
-28528,-28494,-34
-28528,-28494,-34
-28528,-28494,-34
-28528,-28494,-34
-28512,-28494,-18
-28544,-28494,-50
-28544,-28494,-50
-28512,-28494,-18
-28528,-28494,-34
-28528,-28494,-34
-28528,-28494,-34
-28544,-28494,-50
-28544,-28494,-50
-28544,-28494,-50
-28512,-28494,-18
-28528,-28494,-34
-28544,-28495,-49
-28560,-28495,-65
-28528,-28495,-33
-28528,-28495,-33
-28512,-28495,-17
-28528,-28495,-33
-28560,-28495,-65
-28528,-28495,-33
-28560,-28495,-65
-28544,-28495,-49
-28512,-28495,-17
-28544,-28495,-49
-28560,-28495,-65
-28544,-28495,-49
-28544,-28495,-49
-28528,-28495,-33
-28544,-28495,-49
-28544,-28495,-49
-28512,-28495,-17
-28544,-28495,-49
-28512,-28495,-17
-28544,-28495,-49
-28528,-28495,-33
-28528,-28495,-33
-28528,-28495,-33
-28528,-28495,-33
-28544,-28495,-49
-28528,-28495,-33
-28512,-28495,-17
-28544,-28495,-49
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28544,-28495,-49
-28544,-28495,-49
-28528,-28495,-33
-28528,-28495,-33
-28496,-28495,-1
-28560,-28495,-65
-28544,-28495,-49
-28528,-28495,-33
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28528,-28495,-33
-28512,-28495,-17
-28512,-28495,-17
-28544,-28495,-49
-28528,-28495,-33
-28528,-28495,-33
-28528,-28495,-33
-28512,-28495,-17
-28512,-28495,-17
-28528,-28495,-33
-28528,-28495,-33
-28512,-28495,-17
-28528,-28495,-33
-28544,-28495,-49
-28480,-28495,15
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28496,-28495,-1
-28528,-28495,-33
-28512,-28495,-17
-28480,-28495,15
-28496,-28495,-1
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28496,-28495,-1
-28544,-28495,-49
-28496,-28495,-1
-28464,-28495,31
-28512,-28495,-17
-28496,-28495,-1
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28544,-28495,-49
-28496,-28495,-1
-28528,-28495,-33
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28512,-28495,-17
-28496,-28495,-1
-28512,-28495,-17
-28512,-28495,-17
-28544,-28495,-49
-28496,-28495,-1
-28512,-28495,-17
-28512,-28496,-16
-28512,-28495,-17
-28512,-28496,-16
-28512,-28496,-16
-28496,-28496,0
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28480,-28495,15
-28512,-28496,-16
-28512,-28496,-16
-28496,-28496,0
-28480,-28496,16
-28512,-28496,-16
-28496,-28496,0
-28512,-28496,-16
-28512,-28496,-16
-28496,-28496,0
-28480,-28496,16
-28512,-28496,-16
-28496,-28496,0
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28544,-28496,-48
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28544,-28496,-48
-28512,-28496,-16
-28528,-28496,-32
-28512,-28496,-16
-28512,-28496,-16
-28544,-28496,-48
-28512,-28496,-16
-28544,-28496,-48
-28544,-28496,-48
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28512,-28496,-16
-28544,-28496,-48
-28528,-28496,-32
-28528,-28496,-32
-28544,-28496,-48
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28512,-28496,-16
-28496,-28496,0
-28528,-28496,-32
-28512,-28496,-16
-28560,-28496,-64
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28528,-28496,-32
-28560,-28496,-64
-28512,-28496,-16
-28528,-28496,-32
-28560,-28496,-64
-28528,-28496,-32
-28544,-28496,-48
-28528,-28496,-32
-28320,-28496,176
-28176,-28496,320
-28464,-28496,32
-28528,-28496,-32
-28528,-28496,-32
-28512,-28496,-16
-28496,-28496,0
-28528,-28496,-32
-28528,-28496,-32
-28544,-28496,-48
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28528,-28496,-32
-28544,-28496,-48
-28496,-28496,0
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28496,-28496,0
-28528,-28496,-32
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28496,-28496,0
-28528,-28496,-32
-28496,-28496,0
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28544,-28496,-48
-28528,-28496,-32
-28480,-28496,16
-28512,-28496,-16
-28464,-28496,32
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28512,-28496,-16
-28528,-28496,-32
-28496,-28496,0
-28512,-28496,-16
-28528,-28496,-32
-28512,-28496,-16
-28512,-28496,-16
-28496,-28496,0
-28512,-28496,-16
-28528,-28496,-32
-28480,-28496,16
-28512,-28496,-16
-28528,-28496,-32
-28528,-28496,-32
-28496,-28496,0
-28512,-28496,-16
-28480,-28496,16
-28496,-28496,0
-28512,-28496,-16
-28496,-28496,0
